gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No
Male,1,No,No,34,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,56.95,1889.5,No
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.85,646.0,Yes
Male,1,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),42.3,1840.75,No
Female,0,No,Yes,5,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes
Male,0,Yes,No,22,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),49.95,1098.45,No
Male,1,Yes,Yes,10,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,30.0,300.0,Yes
Female,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),80.0,240.0,Yes
Female,0,No,Yes,18,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,59.9,1078.2,No
Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,65.25,391.5,Yes
